NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
3G_CGI069M_LAN,10.81.4.125,1,Cần Giuộc,CGI069M,CSHT_LAN_00932
3G_DHO042S_LAN,10.81.4.62,3,Đức Hòa,DHO042S,CSHT_LAN_00642
3G_DHO052S_LAN,10.81.4.50,9,Đức Hòa,DHO052S,CSHT_LAN_00647
3G_DHU026S_LAN,10.81.4.76,8,Đức Huệ,DHU026S,CSHT_LAN_00634
4G-DHU037S-LAN,10.81.4.166,4,Đức Huệ,DHU033S,CSHT_LAN_00641
3G_DHU034S_LAN,10.81.4.244,14,Đức Huệ,DHU034S,CSHT_LAN_00636
3G_DHU036M_LAN,10.81.5.98,6,Đức Huệ,DHU036M,CSHT_LAN_00950
3G_MHO014E_LAN,10.81.5.177,4,Mộc Hóa,Trạm VT Tân Lập-H. Mộc Hóa,CSHT_LAN_00262
3G_MHO031S_LAN,10.81.4.49,11,Mộc Hóa,MHO031S,CSHT_LAN_00625
4G-TAN088S-LAN,10.81.4.38,12,Tân An,TAN057S,CSHT_LAN_00633
3G_THO005E_LAN,10.81.5.214,4,Thạnh Hóa,Trạm BTS Bến Kè - Thủy Đông,CSHT_LAN_00044
