NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
2G_CTH019M_LAN,10.81.4.226,9,Châu Thành,Trạm VT Vĩnh Công,CSHT_LAN_00198
3G_VHU013M_LAN,10.81.4.181,24,Vĩnh Hưng,Trạm VT Vĩnh Hưng,CSHT_LAN_00272
4G-VHU013M-LAN,10.81.4.186,1,Vĩnh Hưng,Trạm VT Vĩnh Hưng,CSHT_LAN_00272
2G_VHU013M_LAN,E1,E1,Vĩnh Hưng,Trạm VT Vĩnh Hưng,CSHT_LAN_00272
3G_THU010M_LAN,10.81.5.195,23,Tân Hưng,Trạm VT Vĩnh Thạnh,CSHT_LAN_00121
UL_THU010M_LAN,10.81.5.195,9,Tân Hưng,Trạm VT Vĩnh Thạnh,CSHT_LAN_00121
2G_THU010M_LAN,E1,E1,Tân Hưng,Trạm VT Vĩnh Thạnh,CSHT_LAN_00121
UL_DHO113M_LAN,10.81.5.55,2,Đức Hòa,Trường ĐH TânTạo-DHO113M,CSHT_LAN_00705
4G-TTR015S-LAN,10.81.4.231,13,Tân Trụ,TT Tân Trụ-TTR015S,CSHT_LAN_00626
UL_TTH701B_LAN,10.81.5.251,15,Tân Thạnh,TTH016N,CSHT_LAN_00979
UL_TTH700B_LAN,10.81.5.251,14,Tân Thạnh,TTH016X,CSHT_LAN_00978
3G_TTH019M_LAN,10.81.5.199,10,Tân Thạnh,TTH019M (Ấp 2 Tân Thành),CSHT_LAN_00328
4G-TTH019M-LAN,10.81.5.199,2,Tân Thạnh,TTH019M (Ấp 2 Tân Thành),CSHT_LAN_00328
UL_TTH020M_LAN,10.81.5.199,6,Tân Thạnh,TTH020M (Ấp 3 Tân Thành),CSHT_LAN_00374
3G_TTH021M_LAN,10.81.4.208,7,Tân Thạnh,TTH021M (Kênh Tè),CSHT_LAN_00325
4G-TTH021M-LAN,10.81.4.208,10,Tân Thạnh,TTH021M (Kênh Tè),CSHT_LAN_00325
3G_TTH022M_LAN,10.81.4.201,4,Tân Thạnh,TTH022M (Ấp Huỳnh Lớn NHL),CSHT_LAN_00369
4G-TTH022M-LAN,10.81.4.201,6,Tân Thạnh,TTH022M (Ấp Huỳnh Lớn NHL),CSHT_LAN_00369
3G_TTH023M_LAN,10.81.5.207,14,Tân Thạnh,TTH023M (Ấp Trại Lòn Nam),CSHT_LAN_00326
4G-TTH023M-LAN,10.81.5.207,2,Tân Thạnh,TTH023M (Ấp Trại Lòn Nam),CSHT_LAN_00326
3G_TTH024M_LAN,10.81.5.251,9,Tân Thạnh,TTH024M (431 KP6),CSHT_LAN_00371
4G-TTH024M-LAN,10.81.5.251,6,Tân Thạnh,TTH024M (431 KP6),CSHT_LAN_00371
3G_TTH025E_LAN,10.81.5.251,21,Tân Thạnh,"TTH025M (Ấp Hiệp Thành, Tân Bình)",CSHT_LAN_00334
4G-TTH025M-LAN,10.81.5.251,13,Tân Thạnh,"TTH025M (Ấp Hiệp Thành, Tân Bình)",CSHT_LAN_00334
3G_TTH026M_LAN,10.81.5.124,2,Tân Thạnh,TTH026M (Ấp Cà Nhíp),CSHT_LAN_00335
4G-TTH026M-LAN,10.81.5.124,3,Tân Thạnh,TTH026M (Ấp Cà Nhíp),CSHT_LAN_00335
2G_TTH026M_LAN,E1,E1,Tân Thạnh,TTH026M (Ấp Cà Nhíp),CSHT_LAN_00335
3G_TTH027M_LAN,10.81.5.208,10,Tân Thạnh,TTH027M (Ấp 4 Hậu Thạnh Tây),CSHT_LAN_00379
4G-TTH027M-LAN,10.81.5.208,17,Tân Thạnh,TTH027M (Ấp 4 Hậu Thạnh Tây),CSHT_LAN_00379
UL_TTH028M_LAN,10.81.4.209,7,Tân Thạnh,"TTH028 (Ấp Nguyễn Khỏe, Hậu Thạnh Tây)",CSHT_LAN_00628
UL_TTH029M_LAN,10.81.4.208,12,Tân Thạnh,"TTH029M (Ấp Bằng Lăng, xã Tân Lập)",CSHT_LAN_00855
